<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIN,20161122,9.42,10.78,9.42,10.78,7700,11.10,12.70,11.10,12.70,0,0,0
VIN,20161121,9.42,9.42,9.42,9.42,100,11.10,11.10,11.10,11.10,0,0,0
VIN,20161117,9.16,9.33,9.16,9.33,3300,10.80,11.00,10.80,11.00,0,800,0
VIN,20161116,9.50,9.50,9.50,9.50,100,11.20,11.20,11.20,11.20,0,0,0
VIN,20161115,9.17,9.17,9.17,9.16,9800,10.80,10.80,10.80,10.80,0,9800,0
VIN,20161114,11.03,11.11,9.75,9.76,1100,13.00,13.10,11.50,11.50,0,0,0
VIN,20161111,9.67,9.67,9.67,9.67,200,11.40,11.40,11.40,11.40,0,0,0
VIN,20161110,9.17,9.17,9.17,9.16,200,10.80,10.80,10.80,10.80,0,0,0
VIN,20161109,8.40,9.25,8.40,9.25,2800,9.90,10.90,9.90,10.90,0,1600,100
VIN,20161108,9.50,9.50,9.50,9.50,100,11.20,11.20,11.20,11.20,0,0,0
VIN,20161107,8.90,8.90,8.90,8.91,200,10.50,10.50,10.50,10.50,0,0,0
VIN,20161103,8.82,8.82,8.82,8.82,1000,10.40,10.40,10.40,10.40,0,0,0
VIN,20161102,8.74,8.74,8.74,8.74,1000,10.30,10.30,10.30,10.30,0,1000,0
VIN,20161031,8.74,8.74,8.74,8.74,1700,10.30,10.30,10.30,10.30,0,1700,0
VIN,20161027,8.82,8.82,8.74,8.74,2500,10.40,10.40,10.30,10.30,0,2000,0
VIN,20161014,8.82,8.82,8.82,8.82,2000,10.40,10.40,10.40,10.40,0,0,0
VIN,20161013,8.82,8.82,8.82,8.82,1000,10.40,10.40,10.40,10.40,0,0,0
VIN,20161012,8.82,8.82,8.82,8.82,1000,10.40,10.40,10.40,10.40,0,0,0
VIN,20161011,8.82,8.82,8.82,8.82,1800,10.40,10.40,10.40,10.40,0,0,0
VIN,20161010,8.82,8.82,8.82,8.82,1300,10.40,10.40,10.40,10.40,0,0,0
VIN,20161006,8.82,8.82,8.82,8.82,1000,10.40,10.40,10.40,10.40,0,0,0
VIN,20161005,8.82,8.82,8.82,8.82,2000,10.40,10.40,10.40,10.40,0,0,0
VIN,20161004,8.83,8.83,8.83,8.82,200,10.40,10.40,10.40,10.40,0,0,0
VIN,20161003,8.49,8.49,8.49,8.49,1000,10.00,10.00,10.00,10.00,0,0,0
VIN,20160927,8.32,8.32,8.32,8.32,100,9.80,9.80,9.80,9.80,0,0,100
VIN,20160921,9.75,9.75,9.75,9.76,100,11.50,11.50,11.50,11.50,0,0,0
VIN,20160914,8.99,8.99,8.65,8.66,3100,10.60,10.60,10.20,10.20,0,0,0
VIN,20160912,10.18,10.18,10.18,10.18,3200,12.00,12.00,12.00,12.00,0,0,0
VIN,20160909,9.84,9.84,9.84,9.84,500,11.60,11.60,11.60,11.60,0,0,0
VIN,20160822,9.84,9.84,9.84,9.84,1500,11.60,11.60,11.60,11.60,0,0,0
VIN,20160817,9.76,9.84,9.76,9.84,1500,11.50,11.60,11.50,11.60,0,0,0
VIN,20160816,9.75,9.75,9.75,9.76,500,11.50,11.50,11.50,11.50,0,0,0
VIN,20160815,9.33,9.33,9.33,9.33,500,11.00,11.00,11.00,11.00,0,0,0
VIN,20160812,9.34,9.34,9.34,9.33,500,11.00,11.00,11.00,11.00,0,0,0
VIN,20160811,9.50,9.50,9.42,9.42,2800,11.20,11.20,11.10,11.10,0,0,0
VIN,20160809,9.42,9.42,9.42,9.42,300,11.10,11.10,11.10,11.10,0,0,0
VIN,20160808,9.33,9.42,9.33,9.42,2900,11.00,11.10,11.00,11.10,0,0,0
VIN,20160804,9.33,9.59,9.33,9.59,1500,11.00,11.30,11.00,11.30,0,0,0
VIN,20160803,8.91,8.91,8.91,8.91,200,10.50,10.50,10.50,10.50,0,0,0
VIN,20160801,9.34,9.50,9.34,9.50,2500,11.00,11.20,11.00,11.20,0,0,0
VIN,20160728,9.33,9.50,9.33,9.33,2500,11.00,11.20,11.00,11.00,0,0,0
